Monitoring htmz process (PID: 47752)
Time,RSS(MB),VSZ(MB),CPU%
14:29:45,77.1,401743.6,89.1
14:29:50,76.5,401743.6,105.3
14:29:55,76.5,401743.6,94.5
14:30:00,76.8,401743.6,67.3
14:30:05,76.5,401743.6,94.5
14:30:10,76.9,401743.6,103.8
14:30:15,76.5,401743.6,93.5
14:30:20,76.7,401743.6,81.0
14:30:25,76.5,401743.6,88.3
14:30:30,76.8,401743.6,105.9
14:30:35,77.0,401743.6,104.0
14:30:40,76.7,401743.6,94.4
14:30:45,76.7,401743.6,82.7
14:30:50,76.8,401743.6,105.2
14:30:55,76.5,401743.6,95.3
14:31:00,76.7,401743.6,56.4
14:31:05,76.7,401743.6,91.8
14:31:10,76.2,401743.6,96.9
14:31:15,76.3,401743.6,76.1
14:31:20,76.3,401743.6,75.6
14:31:25,76.3,401743.6,87.1
14:31:30,76.4,401743.6,88.7
14:31:35,76.3,401743.6,93.0
14:31:40,76.4,401743.6,98.2
14:31:45,76.7,401743.6,98.8
14:31:50,76.5,401743.6,93.0
14:31:55,76.5,401743.6,102.6
14:32:00,76.6,401743.6,96.6
14:32:05,76.6,401743.6,92.2
14:32:10,76.4,401743.6,101.7
14:32:15,76.3,401743.6,99.9
14:32:20,76.4,401743.6,94.5
14:32:25,76.5,401743.6,99.9
14:32:30,76.4,401743.6,92.2
14:32:35,76.5,401743.6,104.4
14:32:41,76.4,401743.6,98.3
14:32:46,76.1,401743.6,67.3
14:32:51,76.5,401743.6,92.6
14:32:56,76.3,401743.6,98.0
14:33:01,76.3,401743.6,109.0
14:33:06,76.5,401743.6,94.8
14:33:11,76.2,401743.6,92.2
14:33:16,76.4,401743.6,90.3
14:33:21,76.6,401743.6,87.2
14:33:26,76.5,401743.6,91.7
14:33:31,76.5,401743.6,93.4
14:33:36,76.5,401743.6,96.0
14:33:41,76.5,401743.6,99.2
14:33:46,76.6,401743.6,95.4
14:33:51,76.5,401743.6,100.0
14:33:56,76.6,401743.6,103.9
14:34:01,76.6,401743.6,94.2
14:34:06,76.4,401743.6,101.3
14:34:11,76.4,401743.6,100.9
14:34:16,76.3,401743.6,106.1
14:34:21,76.4,401743.6,101.3
14:34:26,76.5,401743.6,100.8
14:34:31,76.4,401743.6,102.4
14:34:36,76.5,401743.6,98.6
14:34:41,76.3,401743.6,103.1
14:34:46,76.4,401743.6,99.1
14:34:51,76.4,401743.6,101.9
14:34:56,75.8,401743.6,72.9
14:35:01,76.3,401743.6,93.3
14:35:06,76.2,401743.6,89.6
14:35:11,76.3,401743.6,97.5
14:35:16,76.3,401743.6,109.5
14:35:21,76.4,401743.6,86.9
14:35:26,76.4,401743.6,77.6
14:35:31,76.4,401743.6,90.1
14:35:36,76.5,401743.6,92.4
14:35:41,76.4,401743.6,89.1
14:35:46,76.4,401743.6,94.0
14:35:51,76.4,401743.6,95.5
14:35:56,76.3,401743.6,79.3
14:36:01,76.3,401743.6,93.7
14:36:06,76.1,401743.6,98.4
14:36:11,76.5,401743.6,93.1
14:36:16,76.7,401743.6,97.9
14:36:21,76.6,401743.6,99.8
14:36:26,76.6,401743.6,85.4
14:36:31,76.6,401743.6,95.6
14:36:36,76.6,401743.6,83.5
14:36:41,76.6,401743.6,94.2
14:36:46,76.4,401743.6,90.5
14:36:51,76.4,401743.6,101.4
14:36:56,76.7,401743.6,94.2
14:37:01,76.4,401743.6,94.2
14:37:06,76.5,401743.6,85.6
14:37:11,76.3,401743.6,79.7
14:37:16,76.5,401743.6,100.5
14:37:21,76.5,401743.6,97.8
14:37:26,76.6,401743.6,94.2
14:37:31,76.6,401743.6,95.8
14:37:36,76.7,401743.6,103.8
14:37:41,76.6,401743.6,93.1
14:37:46,76.5,401743.6,87.1
14:37:51,76.4,401743.6,97.5
14:37:56,76.6,401743.6,93.3
14:38:01,76.5,401743.6,102.4
14:38:06,76.6,401743.6,92.2
14:38:11,76.6,401743.6,102.6
14:38:17,76.4,401743.6,90.2
14:38:22,76.4,401743.6,90.7
14:38:27,76.4,401743.6,84.3
14:38:32,76.5,401743.6,92.7
14:38:37,76.2,401743.6,103.8
14:38:42,76.4,401743.6,93.7
14:38:47,76.5,401743.6,93.3
14:38:52,76.6,401743.6,93.7
14:38:57,76.6,401743.6,92.7
14:39:02,76.5,401743.6,94.1
14:39:07,76.5,401743.6,90.6
14:39:12,76.5,401743.6,97.7
14:39:17,76.5,401743.6,100.2
14:39:22,76.5,401743.6,109.0
14:39:27,76.3,401743.6,99.1
14:39:32,76.5,401743.6,96.4
14:39:37,76.6,401743.6,106.5
14:39:42,76.5,401743.6,103.1
14:39:47,76.4,401743.6,88.3
14:39:52,76.3,401743.6,101.2
14:39:57,76.5,401743.6,94.7
14:40:02,76.5,401743.6,97.7
14:40:07,76.4,401743.6,91.3
14:40:12,76.6,401743.6,92.5
14:40:17,76.7,401743.6,98.6
14:40:22,76.5,401743.6,89.1
14:40:27,76.4,401743.6,87.0
14:40:32,76.4,401743.6,103.8
14:40:37,76.4,401743.6,96.7
14:40:42,76.3,401743.6,89.4
14:40:47,76.3,401743.6,97.1
14:40:52,76.4,401743.6,96.1
14:40:57,76.6,401743.6,101.6
14:41:02,76.4,401743.6,87.2
14:41:07,76.5,401743.6,86.8
14:41:12,76.4,401743.6,95.6
14:41:17,76.3,401743.6,101.9
14:41:22,76.4,401743.6,98.5
14:41:27,76.4,401743.6,96.0
14:41:32,76.5,401743.6,91.9
14:41:37,76.6,401743.6,102.2
14:41:42,76.4,401743.6,97.5
14:41:47,76.4,401743.6,92.9
14:41:52,76.4,401743.6,97.5
14:41:57,76.5,401743.6,101.1
14:42:02,76.7,401743.6,102.6
14:42:07,76.5,401743.6,90.2
14:42:12,76.5,401743.6,98.8
14:42:17,76.7,401743.6,97.1
14:42:22,76.7,401743.6,87.8
14:42:27,76.6,401743.6,85.4
14:42:32,76.6,401743.6,94.8
14:42:37,76.6,401743.6,96.3
14:42:42,76.7,401743.6,98.2
14:42:47,76.6,401743.6,98.5
14:42:52,76.8,401743.6,104.8
14:42:57,76.8,401743.6,91.6
14:43:02,76.7,401743.6,83.6
14:43:07,76.6,401743.6,84.0
14:43:12,76.7,401743.6,98.4
14:43:17,76.8,401743.6,97.9
14:43:22,76.7,401743.6,82.9
14:43:27,76.8,401743.6,99.9
14:43:32,76.8,401743.6,98.7
14:43:37,76.7,401743.6,90.7
14:43:42,76.3,401743.6,98.2
14:43:47,76.3,401743.6,90.3
14:43:52,76.6,401743.6,91.0
14:43:57,76.2,401743.6,81.2
14:44:02,76.5,401743.6,101.3
14:44:07,76.4,401743.6,96.4
14:44:12,76.5,401743.6,86.6
14:44:17,76.6,401743.6,105.8
14:44:23,76.6,401743.6,95.3
14:44:28,76.5,401743.6,95.5
14:44:33,76.8,401743.6,84.4
14:44:38,76.7,401743.6,99.2
14:44:43,76.6,401743.6,103.7
14:44:48,76.7,401743.6,99.8
14:44:53,76.6,401743.6,92.6
14:44:58,76.7,401743.6,103.0
14:45:03,76.5,401743.6,102.9
14:45:08,76.6,401743.6,88.3
14:45:13,76.7,401743.6,100.9
14:45:18,76.6,401743.6,101.8
14:45:23,76.7,401743.6,84.7
14:45:28,76.6,401743.6,86.8
14:45:33,76.6,401743.6,101.0
14:45:38,76.3,401743.6,85.8
14:45:43,76.6,401743.6,93.3
14:45:48,76.5,401743.6,103.0
14:45:53,76.7,401743.6,97.9
14:45:58,76.5,401743.6,96.4
14:46:03,76.6,401743.6,91.7
14:46:08,76.7,401743.6,97.8
14:46:13,76.6,401743.6,97.6
14:46:18,76.6,401743.6,90.9
14:46:23,76.4,401743.6,94.3
14:46:28,76.6,401743.6,98.2
14:46:33,76.8,401743.6,95.2
14:46:38,76.6,401743.6,93.3
14:46:43,76.6,401743.6,97.6
14:46:48,76.6,401743.6,90.0
14:46:53,76.5,401743.6,108.0
14:46:58,76.6,401743.6,103.0
14:47:03,76.6,401743.6,99.0
14:47:08,76.6,401743.6,104.2
14:47:13,76.7,401743.6,93.9
14:47:18,76.6,401743.6,98.7
14:47:23,76.6,401743.6,93.6
14:47:28,76.6,401743.6,104.7
14:47:33,76.5,401743.6,79.4
14:47:38,76.5,401743.6,89.8
14:47:43,76.5,401743.6,91.3
14:47:48,76.6,401743.6,94.4
14:47:53,76.6,401743.6,105.1
14:47:58,76.4,401743.6,100.6
14:48:03,76.7,401743.6,99.6
14:48:08,76.6,401743.6,91.5
14:48:13,76.4,401743.6,91.5
14:48:18,76.5,401743.6,102.4
14:48:23,76.6,401743.6,103.8
14:48:28,76.5,401743.6,96.5
14:48:33,76.5,401743.6,94.5
14:48:38,76.3,401743.6,97.7
14:48:43,76.5,401743.6,95.4
14:48:48,76.3,401743.6,99.4
14:49:22,76.3,401743.6,103.4
14:49:27,76.6,401743.6,92.6
14:49:32,76.3,401743.6,100.3
14:49:37,76.4,401743.6,93.1
14:49:42,76.5,401743.6,105.8
14:49:47,76.5,401743.6,91.0
14:49:52,76.4,401743.6,91.4
14:49:57,68.5,401743.6,58.5
14:50:02,76.2,401743.6,100.7
14:50:07,76.6,401743.6,88.2
14:50:12,76.6,401743.6,95.0
14:50:17,76.6,401743.6,104.1
14:50:22,76.6,401743.6,95.2
14:50:27,76.7,401743.6,97.5
14:50:32,76.7,401743.6,100.6
14:50:37,76.6,401743.6,93.7
14:50:42,76.4,401743.6,95.0
14:50:47,76.6,401743.6,90.2
14:50:52,76.5,401743.6,105.7
14:50:58,76.5,401743.6,97.5
14:51:03,76.6,401743.6,85.7
14:51:08,76.5,401743.6,71.6
14:51:13,76.7,401743.6,95.2
14:51:18,76.4,401743.6,96.2
14:51:23,76.4,401743.6,97.2
14:51:28,76.7,401743.6,80.3
14:51:33,76.6,401743.6,91.4
14:51:38,76.7,401743.6,97.1
14:51:43,76.5,401743.6,94.3
14:51:48,76.5,401743.6,100.8
14:51:53,76.5,401743.6,81.8
14:51:58,76.7,401743.6,99.4
14:52:03,76.5,401743.6,100.4
14:52:08,76.6,401743.6,96.0
14:52:13,76.6,401743.6,104.7
14:52:18,76.5,401743.6,100.1
14:52:23,76.4,401743.6,101.3
14:52:28,76.6,401743.6,97.8
14:52:33,76.3,401743.6,96.5
14:52:38,76.5,401743.6,93.1
14:52:43,76.4,401743.6,90.7
14:52:48,76.1,401743.6,81.5
14:52:53,76.6,401743.6,82.4
14:52:58,76.3,401743.6,77.9
14:53:03,76.5,401743.6,98.6
14:53:08,76.2,401743.6,64.7
14:53:13,76.5,401743.6,105.1
14:53:18,76.4,401743.6,80.5
14:53:23,76.5,401743.6,96.9
14:53:28,76.7,401743.6,99.4
14:53:33,76.7,401743.6,94.8
14:53:38,76.6,401743.6,100.2
14:53:43,76.7,401743.6,99.8
14:53:48,76.8,401743.6,91.5
14:53:53,76.7,401743.6,100.3
14:53:58,76.6,401743.6,92.1
